Countries,Indicators,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Botswana,Current Health Expenditure (CHE) per Capita in US$,,195,192,195,254,279,263,251,297,315,327,379,416,406,418,402,358,370,445,420,409,363,
Botswana,Current Health Expenditure (CHE),in million current US$,337,338,349,464,519,498,484,583,633,670,792,887,883,928,910,826,870,"1,068","1,029","1,022",924,
Botswana,Gross Domestic Product (GDP) per Capita in US$,,"3,290","3,099","3,006","4,088","4,744","5,195","5,143","5,372","5,346","4,938","6,042","7,081","6,393","6,437","6,844","5,870","6,412","6,705","6,948","6,679","5,863",
Botswana,Population (in thousands),,"1,727","1,762","1,795","1,827","1,859","1,893","1,929","1,967","2,007","2,049","2,092","2,134","2,175","2,217","2,260","2,305","2,352","2,402","2,451","2,500","2,546",
Burkina Faso,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3,3,3,3,4,4,5,5,5,5,5,5,5,6,5,5,6,6,5,5,7,
Burkina Faso,Current Health Expenditure (CHE) per Capita in US$,,7,8,9,11,17,18,21,27,29,31,33,34,34,42,38,32,40,43,39,41,54,
Burkina Faso,Current Health Expenditure (CHE),in million current US$,88,92,108,149,230,243,296,399,439,480,530,562,578,748,697,607,764,854,795,860,"1,166",
Burkina Faso,Gross Domestic Product (GDP) per Capita in US$,,250,260,287,364,405,443,457,517,622,604,627,728,734,762,767,632,666,711,788,763,806,
Burkina Faso,Population (in thousands),,"11,883","12,250","12,632","13,031","13,446","13,876","14,316","14,757","15,198","15,650","16,117","16,603","17,114","17,636","18,170","18,718","19,275","19,836","20,393","20,952","21,523",
Burundi,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6,6,6,6,8,8,10,11,9,10,11,10,9,9,7,6,7,7,7,7,7,
Burundi,Current Health Expenditure (CHE) per Capita in US$,,9,9,8,7,10,13,17,18,18,21,25,24,20,21,19,18,19,21,20,17,16,
Burundi,Current Health Expenditure (CHE),in million current US$,54,56,53,50,70,94,127,143,149,184,229,225,199,209,195,195,212,231,225,197,201,
Burundi,Gross Domestic Product (GDP) per Capita in US$,,138,136,124,114,129,151,166,171,195,204,223,236,238,242,258,289,271,284,264,254,253,
Burundi,Population (in thousands),,"6,308","6,466","6,649","6,861","7,120","7,389","7,658","7,945","8,278","8,709","9,127","9,456","9,795","10,150","10,495","10,727","10,903","11,156","11,493","11,875","12,220",
Benin,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,
Benin,Current Health Expenditure (CHE) per Capita in US$,,16,17,17,21,24,24,25,27,30,30,30,34,38,35,33,28,26,29,30,27,32,
Benin,Current Health Expenditure (CHE),in million current US$,109,119,128,162,190,193,209,236,264,275,286,331,380,358,354,305,292,331,354,334,406,
Benin,Gross Domestic Product (GDP) per Capita in US$,,503,508,564,698,784,806,837,945,"1,099","1,062","1,009","1,099","1,113","1,214","1,252","1,042","1,050","1,095","1,193","1,171","1,241",
Benin,Population (in thousands),,"6,998","7,212","7,432","7,659","7,895","8,149","8,403","8,648","8,906","9,173","9,446","9,726","10,014","10,309","10,615","10,933","11,260","11,597","11,941","12,290","12,643",
Cabo Verde,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,
Cabo Verde,Current Health Expenditure (CHE) per Capita in US$,,59,63,68,83,92,95,111,126,126,128,143,152,167,181,181,139,144,165,179,174,176,
Cabo Verde,Current Health Expenditure (CHE),in million current US$,27,29,32,40,45,47,56,63,64,66,74,80,89,98,99,77,81,93,102,100,103,
Cabo Verde,Gross Domestic Product (GDP) per Capita in US$,,"1,328","1,321","1,435","1,855","2,103","2,213","2,479","2,998","3,504","3,292","3,192","3,537","3,263","3,427","3,406","2,892","2,978","3,133","3,443","3,435","2,924",
Cabo Verde,Population (in thousands),,458,466,473,480,487,493,499,505,510,516,521,528,534,540,546,552,558,565,571,577,583,
Cameroon,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,
Cameroon,Current Health Expenditure (CHE) per Capita in US$,,29,27,31,38,42,43,44,49,54,51,50,58,56,57,62,50,51,50,58,56,58,
Cameroon,Current Health Expenditure (CHE),in million current US$,435,426,500,623,702,736,781,887,"1,014",978,984,"1,180","1,185","1,225","1,378","1,158","1,215","1,226","1,447","1,449","1,537",
Cameroon,Gross Domestic Product (GDP) per Capita in US$,,700,707,780,977,"1,120","1,129","1,178","1,311","1,476","1,446","1,384","1,498","1,434","1,559","1,632","1,400","1,426","1,480","1,594","1,539","1,540",
Cameroon,Population (in thousands),,"15,092","15,493","15,914","16,354","16,809","17,275","17,751","18,252","18,777","19,319","19,878","20,449","21,033","21,633","22,300","23,013","23,712","24,393","25,077","25,782","26,491",
Central African Republic,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,4,4,4,4,4,4,5,4,5,4,4,4,5,5,5,5,7,11,8,9,
Central African Republic,Current Health Expenditure (CHE) per Capita in US$,,10,9,11,13,14,15,16,19,19,22,16,19,21,17,18,18,20,28,49,34,42,
Central African Republic,Current Health Expenditure (CHE),in million current US$,37,36,42,52,56,62,68,83,83,100,76,90,98,81,87,85,99,138,251,178,224,
Central African Republic,Gross Domestic Product (GDP) per Capita in US$,,231,234,251,296,319,336,358,402,457,453,460,515,526,352,395,352,372,415,447,437,446,
Central African Republic,Population (in thousands),,"3,759","3,845","3,931","4,027","4,115","4,209","4,294","4,376","4,467","4,565","4,660","4,732","4,773","4,802","4,799","4,819","4,904","4,997","5,095","5,209","5,343",
Chad,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,5,7,6,6,5,5,4,4,4,4,4,4,4,4,5,5,5,5,4,5,
Chad,Current Health Expenditure (CHE) per Capita in US$,,10,12,19,19,29,32,35,35,38,36,36,39,37,40,44,35,35,30,32,31,35,
Chad,Current Health Expenditure (CHE),in million current US$,86,102,164,171,275,323,363,377,423,414,434,477,478,528,598,495,515,459,504,492,579,
Chad,Gross Domestic Product (GDP) per Capita in US$,,190,227,256,337,521,667,719,810,940,811,899,989,972,983,"1,022",774,699,668,707,682,644,
Chad,Population (in thousands),,"8,259","8,539","8,838","9,196","9,614","10,005","10,366","10,723","11,099","11,496","11,895","12,318","12,755","13,217","13,697","14,140","14,593","15,086","15,604","16,127","16,645",
Comoros,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,8,7,7,7,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Comoros,Current Health Expenditure (CHE) per Capita in US$,,48,45,51,64,71,68,66,70,74,69,69,81,77,81,84,61,63,75,74,78,81,
Comoros,Current Health Expenditure (CHE),in million current US$,25,25,29,36,41,40,40,43,46,45,45,54,53,57,60,44,47,57,58,62,65,
Comoros,Gross Domestic Product (GDP) per Capita in US$,,632,680,764,959,"1,071","1,107","1,139","1,290","1,455","1,409","1,384","1,527","1,484","1,596","1,609","1,323","1,357","1,415","1,518","1,502","1,512",
Comoros,Population (in thousands),,537,548,559,570,581,593,605,617,629,642,656,670,685,699,715,730,746,762,776,791,806,
Congo,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,4,
Congo,Current Health Expenditure (CHE) per Capita in US$,,17,20,17,22,28,31,36,42,64,49,55,60,72,72,71,58,55,53,48,59,81,
Congo,Current Health Expenditure (CHE),in million current US$,55,66,57,74,98,114,138,167,261,208,243,274,338,349,353,292,284,280,259,328,461,
Congo,Gross Domestic Product (GDP) per Capita in US$,,"1,159",934,"1,004","1,128","1,440","1,811","2,117","2,220","2,849","2,284","2,963","3,415","3,754","3,720","3,623","2,348","1,959","2,092","2,507","2,296","1,809",
Congo,Population (in thousands),,"3,134","3,254","3,331","3,425","3,543","3,673","3,813","3,956","4,090","4,257","4,438","4,584","4,713","4,828","4,945","5,064","5,187","5,312","5,441","5,571","5,702",
Côte d'Ivoire,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,4,
Côte d'Ivoire,Current Health Expenditure (CHE) per Capita in US$,,54,54,57,64,68,62,60,65,76,73,72,72,74,72,79,63,66,69,71,74,85,
Côte d'Ivoire,Current Health Expenditure (CHE),in million current US$,910,932,"1,012","1,162","1,255","1,183","1,173","1,282","1,536","1,506","1,520","1,562","1,639","1,607","1,824","1,475","1,608","1,705","1,809","1,926","2,284",
Côte d'Ivoire,Gross Domestic Product (GDP) per Capita in US$,,884,898,970,"1,171","1,236","1,245","1,270","1,421","1,661","1,629","1,630","1,648","1,682","1,924","2,126","1,942","1,981","2,076","2,275","2,239","2,288",
Côte d'Ivoire,Population (in thousands),,"16,800","17,245","17,684","18,116","18,545","18,970","19,394","19,818","20,244","20,678","21,120","21,563","22,011","22,469","22,996","23,597","24,214","24,848","25,494","26,148","26,812",
Democratic Republic of the Congo,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,2,3,3,4,4,4,4,4,5,5,4,3,3,4,4,4,4,4,3,4,4,
Democratic Republic of the Congo,Current Health Expenditure (CHE) per Capita in US$,,19,6,4,6,8,9,11,12,16,13,13,12,14,16,19,19,20,19,18,20,21,
Democratic Republic of the Congo,Current Health Expenditure (CHE),in million current US$,936,292,232,341,455,509,635,726,987,848,833,843,967,"1,166","1,429","1,505","1,621","1,580","1,557","1,785","1,973",
Democratic Republic of the Congo,Gross Domestic Product (GDP) per Capita in US$,,"1,242",216,169,168,188,212,248,278,318,290,325,376,413,445,472,482,456,451,541,561,525,
Democratic Republic of the Congo,Population (in thousands),,"48,616","50,107","51,662","53,206","54,816","56,550","58,382","60,289","62,250","64,270","66,391","68,654","70,998","73,460","76,036","78,657","81,431","84,283","87,087","89,907","92,853",
Equatorial Guinea,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,3,3,3,3,3,4,
Equatorial Guinea,Current Health Expenditure (CHE) per Capita in US$,,36,51,64,94,120,142,169,217,365,267,271,290,237,331,369,285,253,249,271,223,237,
Equatorial Guinea,Current Health Expenditure (CHE),in million current US$,25,37,49,75,99,123,153,206,363,278,297,332,283,412,477,384,353,361,406,346,378,
Equatorial Guinea,Gross Domestic Product (GDP) per Capita in US$,,"1,691","2,327","2,746","4,771","7,205","9,468","11,150","13,795","19,930","14,457","14,906","18,659","18,756","17,645","16,805","9,789","8,035","8,410","8,719","7,352","6,279",
Equatorial Guinea,Population (in thousands),,685,719,754,790,826,865,905,949,995,"1,044","1,095","1,145","1,194","1,244","1,295","1,347","1,399","1,451","1,502","1,553","1,596",
Eritrea,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6,6,7,7,7,7,7,5,6,5,5,5,4,5,4,4,4,4,4,4,4,
Eritrea,Current Health Expenditure (CHE) per Capita in US$,,13,14,15,19,22,21,22,18,20,23,25,34,26,30,32,27,23,21,24,25,24,
Eritrea,Current Health Expenditure (CHE),in million current US$,32,34,38,49,60,58,64,54,59,70,78,108,85,98,106,90,76,71,83,88,85,
Eritrea,Gross Domestic Product (GDP) per Capita in US$,,228,237,222,254,311,300,325,349,307,420,505,644,693,594,784,603,646,560,582,566,586,
Eritrea,Population (in thousands),,"2,393","2,462","2,547","2,653","2,763","2,832","2,880","2,926","3,006","3,084","3,148","3,208","3,253","3,296","3,323","3,340","3,365","3,397","3,445","3,499","3,556",
Eswatini,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,5,6,6,7,7,8,8,9,9,9,8,8,7,7,7,7,7,7,7,7,
Eswatini,Current Health Expenditure (CHE) per Capita in US$,,78,76,75,132,177,219,239,254,268,282,347,369,344,307,285,253,228,267,291,259,219,
Eswatini,Current Health Expenditure (CHE),in million current US$,80,79,79,140,189,234,258,275,292,309,381,408,382,343,321,287,260,308,338,303,259,
Eswatini,Gross Domestic Product (GDP) per Capita in US$,,"1,687","1,481","1,363","2,076","2,599","2,965","3,054","3,201","3,022","3,270","4,036","4,361","4,397","4,111","3,929","3,580","3,340","3,826","4,022","3,843","3,365",
Eswatini,Population (in thousands),,"1,030","1,041","1,051","1,059","1,066","1,072","1,078","1,084","1,090","1,095","1,100","1,105","1,111","1,118","1,126","1,134","1,143","1,151","1,160","1,170","1,181",
Ethiopia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,5,5,5,4,4,4,5,4,5,5,4,5,4,4,4,4,3,3,3,3,
Ethiopia,Current Health Expenditure (CHE) per Capita in US$,,5,6,5,6,6,7,9,12,13,15,16,15,20,20,22,24,25,25,24,26,29,
Ethiopia,Current Health Expenditure (CHE),in million current US$,357,383,369,422,437,508,680,967,"1,115","1,333","1,464","1,362","1,916","1,897","2,185","2,412","2,598","2,652","2,650","2,993","3,363",
Ethiopia,Gross Domestic Product (GDP) per Capita in US$,,122,117,110,118,134,160,191,236,309,330,300,332,447,479,543,616,685,710,722,811,824,
Ethiopia,Population (in thousands),,"67,032","69,019","71,073","73,169","75,301","77,470","79,691","81,996","84,357","86,756","89,238","91,818","94,451","97,084","99,747","102,472","105,293","108,198","111,129","114,121","117,191",
Gabon,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3,3,3,4,3,3,3,3,3,4,2,3,2,3,3,3,3,3,3,3,3,
Gabon,Current Health Expenditure (CHE) per Capita in US$,,123,121,132,167,183,190,213,254,272,283,208,263,226,263,234,188,209,194,211,208,229,
Gabon,Current Health Expenditure (CHE),in million current US$,157,158,177,230,259,277,319,394,434,468,356,466,416,500,461,382,436,415,463,467,525,
Gabon,Gross Domestic Product (GDP) per Capita in US$,,"4,250","3,845","3,977","4,724","5,483","6,489","6,764","8,037","9,732","7,379","8,400","10,274","9,349","9,250","9,255","7,090","6,722","6,976","7,695","7,524","6,681",
Gabon,Population (in thousands),,"1,273","1,307","1,342","1,378","1,417","1,458","1,503","1,550","1,600","1,654","1,711","1,773","1,837","1,902","1,967","2,029","2,086","2,140","2,192","2,243","2,293",
Gambia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,7,6,6,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,
Gambia,Current Health Expenditure (CHE) per Capita in US$,,47,38,37,29,32,33,33,36,40,34,33,31,29,25,17,19,20,21,23,23,19,
Gambia,Current Health Expenditure (CHE),in million current US$,67,57,56,45,52,55,57,63,73,65,64,62,60,54,38,44,47,50,56,57,48,
Gambia,Gross Domestic Product (GDP) per Capita in US$,,702,678,583,538,597,619,616,725,858,772,797,705,687,647,562,612,641,632,683,723,711,
Gambia,Population (in thousands),,"1,438","1,479","1,522","1,566","1,612","1,660","1,711","1,765","1,821","1,878","1,937","1,998","2,061","2,125","2,189","2,253","2,317","2,381","2,445","2,509","2,574",
Ghana,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3,3,3,3,3,4,4,4,4,4,4,5,4,5,4,5,3,3,3,3,4,
Ghana,Current Health Expenditure (CHE) per Capita in US$,,16,19,20,23,26,40,46,55,62,62,72,96,83,105,78,78,64,66,74,74,85,
Ghana,Current Health Expenditure (CHE),in million current US$,320,388,410,496,561,894,"1,062","1,298","1,506","1,542","1,831","2,512","2,242","2,885","2,200","2,245","1,904","1,982","2,288","2,318","2,735",
Ghana,Gross Domestic Product (GDP) per Capita in US$,,583,606,684,822,927,"1,095","1,252","1,440","1,598","1,412","1,695","2,043","2,083","2,282","1,943","1,711","1,900","1,999","2,180","2,168","2,130",
Ghana,Population (in thousands),,"19,666","20,196","20,758","21,330","21,906","22,497","23,099","23,708","24,326","24,951","25,575","26,206","26,859","27,526","28,196","28,871","29,554","30,222","30,871","31,522","32,180",
Guinea,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,5,5,5,5,4,4,3,3,4,3,4,4,3,5,6,5,4,4,4,4,
Guinea,Current Health Expenditure (CHE) per Capita in US$,,23,22,25,26,27,20,16,23,23,24,23,24,24,26,37,44,39,33,35,43,47,
Guinea,Current Health Expenditure (CHE),in million current US$,192,186,216,228,240,182,153,218,227,241,235,257,259,290,420,511,464,404,443,550,619,
Guinea,Gross Domestic Product (GDP) per Capita in US$,,484,451,469,543,559,493,452,658,712,670,667,645,685,758,775,756,720,843,944,"1,049","1,158",
Guinea,Population (in thousands),,"8,337","8,446","8,578","8,772","8,961","9,140","9,331","9,547","9,780","10,021","10,271","10,528","10,789","11,055","11,333","11,626","11,931","12,241","12,555","12,878","13,205",
Guinea-Bissau,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,7,7,6,6,7,7,7,7,7,7,6,6,6,7,10,8,8,7,8,8,8,
Guinea-Bissau,Current Health Expenditure (CHE) per Capita in US$,,21,22,21,25,32,34,33,38,45,41,38,45,38,46,65,52,57,55,60,61,61,
Guinea-Bissau,Current Health Expenditure (CHE),in million current US$,26,28,27,33,44,46,46,55,67,62,59,72,62,78,113,94,104,103,115,120,124,
Guinea-Bissau,Gross Domestic Product (GDP) per Capita in US$,,318,328,363,421,432,464,449,519,640,583,600,719,635,654,651,644,679,782,782,731,730,
Guinea-Bissau,Population (in thousands),,"1,231","1,257","1,286","1,316","1,347","1,380","1,414","1,451","1,488","1,527","1,567","1,609","1,653","1,698","1,743","1,789","1,835","1,880","1,925","1,970","2,016",
Kenya,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,2,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,
Kenya,Current Health Expenditure (CHE) per Capita in US$,,21,22,22,26,28,31,41,50,55,55,59,57,65,68,73,71,74,67,76,86,83,
Kenya,Current Health Expenditure (CHE),in million current US$,660,704,732,868,966,"1,116","1,517","1,917","2,172","2,232","2,447","2,438","2,830","3,041","3,355","3,341","3,557","3,270","3,779","4,385","4,335",
Kenya,Gross Domestic Product (GDP) per Capita in US$,,858,829,852,904,890,996,"1,131","1,326","1,231","1,049","1,094","1,099","1,290","1,377","1,490","1,497","1,562","1,676","1,846","1,974","1,943",
Kenya,Population (in thousands),,"30,852","31,800","32,780","33,767","34,792","35,843","36,925","38,037","39,187","40,364","41,518","42,635","43,726","44,792","45,832","46,851","47,895","48,948","49,953","50,951","51,986",
Lesotho,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6,7,7,6,6,5,6,7,8,9,8,10,9,10,9,9,9,10,11,11,12,
Lesotho,Current Health Expenditure (CHE) per Capita in US$,,24,28,24,32,41,41,49,65,68,80,96,123,115,113,110,101,86,108,122,121,107,
Lesotho,Current Health Expenditure (CHE),in million current US$,48,56,48,64,81,81,97,130,136,161,193,250,236,234,230,214,184,235,268,268,241,
Lesotho,Gross Domestic Product (GDP) per Capita in US$,,424,388,354,528,675,755,799,897,888,890,"1,145","1,293","1,243","1,186","1,205","1,125",989,"1,059","1,107","1,057",909,
Lesotho,Population (in thousands),,"1,999","1,999","1,998","1,993","1,985","1,977","1,977","1,983","1,995","2,009","2,023","2,038","2,055","2,074","2,095","2,119","2,144","2,171","2,198","2,226","2,254",
Liberia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,4,3,4,9,10,8,11,9,9,9,9,9,8,9,11,10,10,10,8,9,
Liberia,Current Health Expenditure (CHE) per Capita in US$,,13,11,9,8,26,28,27,40,40,43,44,53,54,57,63,71,68,69,66,52,57,
Liberia,Current Health Expenditure (CHE),in million current US$,37,32,27,26,82,92,94,145,151,166,177,221,235,253,284,328,321,331,321,260,288,
Liberia,Gross Domestic Product (GDP) per Capita in US$,,298,303,308,231,287,289,321,370,443,452,489,560,618,688,684,670,692,692,668,618,597,
Liberia,Population (in thousands),,"2,895","2,982","3,061","3,085","3,122","3,266","3,455","3,633","3,784","3,905","4,020","4,181","4,332","4,427","4,519","4,612","4,706","4,797","4,889","4,985","5,088",
Madagascar,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,5,5,5,5,5,5,4,4,4,5,4,4,4,4,5,5,5,4,4,4,
Madagascar,Current Health Expenditure (CHE) per Capita in US$,,13,15,15,17,15,16,17,19,21,20,21,23,19,20,23,23,24,24,22,19,18,
Madagascar,Current Health Expenditure (CHE),in million current US$,207,259,266,303,266,305,325,383,440,425,464,513,443,465,555,563,623,638,588,533,507,
Madagascar,Gross Domestic Product (GDP) per Capita in US$,,285,325,311,360,278,312,331,428,523,455,459,517,504,527,517,456,465,503,513,512,463,
Madagascar,Population (in thousands),,"16,216","16,710","17,212","17,724","18,251","18,792","19,350","19,925","20,514","21,117","21,731","22,348","22,966","23,588","24,216","24,851","25,502","26,170","26,847","27,533","28,225",
Malawi,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,2,2,3,3,4,4,5,5,6,6,5,5,6,8,7,7,8,8,7,5,5,
Malawi,Current Health Expenditure (CHE) per Capita in US$,,7,6,11,12,16,17,21,25,33,36,34,40,33,40,36,35,34,38,37,30,33,
Malawi,Current Health Expenditure (CHE),in million current US$,83,71,132,150,199,221,277,340,458,512,504,600,511,639,587,598,598,678,679,566,639,
Malawi,Gross Domestic Product (GDP) per Capita in US$,,379,363,418,374,394,404,429,462,539,610,666,744,545,485,517,532,444,500,538,584,607,
Malawi,Population (in thousands),,"11,229","11,499","11,784","12,088","12,411","12,756","13,118","13,495","13,889","14,299","14,718","15,146","15,581","16,025","16,478","16,939","17,406","17,881","18,368","18,867","19,377",
Mali,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,
Mali,Current Health Expenditure (CHE) per Capita in US$,,14,14,16,19,22,25,28,30,34,36,32,33,28,31,37,30,28,29,32,33,35,
Mali,Current Health Expenditure (CHE),in million current US$,162,157,195,238,285,325,377,428,496,535,500,522,467,525,644,539,529,565,637,671,752,
Mali,Gross Domestic Product (GDP) per Capita in US$,,263,299,327,382,428,474,507,579,676,681,688,810,753,779,818,724,750,796,856,840,823,
Mali,Population (in thousands),,"11,239","11,584","11,953","12,342","12,752","13,181","13,624","14,081","14,551","15,033","15,529","16,040","16,515","17,004","17,552","18,113","18,700","19,311","19,934","20,567","21,224",
Mauritania,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3,4,4,4,4,3,3,3,3,3,3,2,3,3,3,4,3,3,3,3,3,
Mauritania,Current Health Expenditure (CHE) per Capita in US$,,22,23,25,29,31,33,34,40,49,44,43,47,49,55,59,57,49,54,59,60,59,
Mauritania,Current Health Expenditure (CHE),in million current US$,60,62,71,83,90,100,106,125,157,147,148,167,178,207,228,227,198,225,253,264,266,
Mauritania,Gross Domestic Product (GDP) per Capita in US$,,660,632,630,711,827,975,"1,272","1,378","1,610","1,419","1,646","1,919","1,850","1,930","1,712","1,563","1,579","1,635","1,722","1,800","1,760",
Mauritania,Population (in thousands),,"2,695","2,762","2,822","2,883","2,947","3,012","3,081","3,154","3,233","3,323","3,419","3,524","3,636","3,743","3,843","3,946","4,052","4,160","4,271","4,384","4,499",
Mauritius,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3,3,3,3,3,4,4,4,4,4,5,4,4,5,5,6,6,6,6,6,7,
Mauritius,Current Health Expenditure (CHE) per Capita in US$,,116,116,132,158,185,192,203,229,313,301,357,386,387,440,544,515,540,595,642,672,560,
Mauritius,Current Health Expenditure (CHE),in million current US$,141,143,163,196,231,242,257,291,399,386,458,496,499,568,703,666,698,770,832,871,727,
Mauritius,Gross Domestic Product (GDP) per Capita in US$,,"4,005","3,932","4,097","4,889","5,494","5,386","5,557","6,414","7,831","7,133","7,795","8,955","9,054","9,398","9,909","9,042","9,454","10,241","10,948","10,835","8,415",
Mauritius,Population (in thousands),,"1,216","1,225","1,234","1,242","1,250","1,258","1,265","1,271","1,276","1,280","1,283","1,286","1,289","1,291","1,292","1,293","1,294","1,295","1,295","1,296","1,298",
Mozambique,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,2,3,3,3,4,4,4,4,4,5,5,5,5,6,6,7,7,8,8,8,8,
Mozambique,Current Health Expenditure (CHE) per Capita in US$,,7,9,10,11,14,18,18,19,24,28,26,30,35,41,43,40,31,36,41,40,34,
Mozambique,Current Health Expenditure (CHE),in million current US$,126,157,188,214,280,374,375,411,532,620,604,720,858,"1,040","1,122","1,071",869,"1,036","1,201","1,224","1,069",
Mozambique,Gross Domestic Product (GDP) per Capita in US$,,318,296,304,329,387,423,443,491,575,531,481,605,668,672,680,594,431,463,505,508,450,
Mozambique,Population (in thousands),,"17,769","18,221","18,695","19,187","19,694","20,211","20,736","21,281","21,846","22,437","23,074","23,760","24,488","25,252","26,039","26,843","27,696","28,569","29,424","30,286","31,178",
Namibia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,10,10,10,10,10,10,10,11,10,9,10,10,9,9,8,10,9,9,8,8,9,
Namibia,Current Health Expenditure (CHE) per Capita in US$,,207,182,173,254,347,376,408,465,413,386,522,569,558,495,466,496,430,476,473,432,380,
Namibia,Current Health Expenditure (CHE),in million current US$,377,338,327,487,673,738,810,936,843,799,"1,096","1,214","1,209","1,092","1,046","1,131","1,000","1,125","1,138","1,057",945,
